OrderID,OrderDate,CustomerID,CustomerName,CustomerEmail,CustomerAge,CustomerSegment,Country,Region,ProductID,Category,SubCategory,ProductName,Sales,Quantity,Discount,Profit,ShippingMode
ORD-2024-100001,2024-02-18 05:00:36,CUS-1500,Samuel Patterson,lyonsjames@example.net,32,Consumer,Mauritius,Africa,PROD-OFF-985,Office Supplies,Storage,Storage Model Plus,2508.0870279572373,6,0.5,46.60003625808333,First Class
ORD-2024-100002,2025-05-18 18:01:26,CUS-3083,Paige Aguilar,hhunter@example.org,24,Home Office,Kiribati,Europe,PROD-TEC-215,Technology,Laptops,Laptops Model Plus,167.9678110539252,1,0.2,17.118995352955384,First Class
ORD-2023-100003,2022-12-03 20:52:08,CUS-1507,Cheyenne Chan,garciamatthew@example.com,39,Home Office,Equatorial Guinea,North America,PROD-OFF-402,Office Supplies,Storage,Storage Model Plus,4494.659108308474,8,0.15,1345.1046495504438,Same Day
ORD-2023-100004,2023-11-03 08:49:11,CUS-1777,Anthony Moore,hfrazier@example.org,51,Consumer,Tonga,Africa,PROD-OFF-235,Office Supplies,Binders,Binders Model X,814.9644454717276,10,0.0,80.02077776011392,Standard Class
ORD-2022-100005,2023-11-09 22:53:51,CUS-1276,Laura Wilson,pjohnson@example.org,18,Corporate,Cape Verde,Asia-Pacific,PROD-TEC-568,Technology,Copiers,Copiers Model Pro,5276.544182068915,8,0.15,462.0926206396172,Second Class
ORD-2023-100006,2024-05-24 16:07:53,CUS-2745,Ronald Vargas,robertmoreno@example.org,43,Home Office,New Caledonia,Africa,PROD-TEC-304,Technology,Accessories,Accessories Model Plus,3693.1399944043073,9,0.1,382.42403193764795,Standard Class
ORD-2024-100007,2025-06-01 09:41:14,CUS-5083,Kristin Zuniga,osanchez@example.org,40,Corporate,Falkland Islands (Malvinas),Africa,PROD-TEC-254,Technology,Laptops,Laptops Model Basic,1932.272001382295,3,0.0,121.07534560810342,Same Day
ORD-2024-100008,2024-09-24 19:08:58,CUS-4703,Cheryl Martinez,olawrence@example.org,44,Small Business,Nicaragua,North America,PROD-FUR-745,Furniture,Bookcases,Bookcases Model Basic,1172.2210419916169,8,0.0,-61.09269508495371,Second Class
ORD-2023-100009,2025-09-20 00:22:46,CUS-3858,Heather Cruz,kennethreyes@example.com,52,Corporate,Spain,Asia-Pacific,PROD-TEC-292,Technology,Accessories,Accessories Model X,96.56859265648512,4,0.0,-1.5896214902774521,First Class
ORD-2024-100010,2023-03-29 04:41:28,CUS-3679,Stacy Rogers,tina96@example.net,60,Small Business,Faroe Islands,North America,PROD-TEC-206,Technology,Accessories,Accessories Model Basic,164.37585966050509,9,0.2,13.519890075683183,First Class
ORD-2022-100011,2025-05-01 03:57:48,CUS-1381,Heather Wilkins,donald07@example.net,33,Corporate,Turkey,Africa,PROD-FUR-951,Furniture,Bookcases,Bookcases Model Pro,3934.6831133032692,9,0.15,130.4886782091982,Same Day
ORD-2023-100012,2023-03-04 03:07:39,CUS-2086,Jaime Webb,amandadeleon@example.net,63,Corporate,Greenland,Africa,PROD-TEC-127,Technology,Accessories,Accessories Model Plus,783.6953991034304,4,0.5,104.38630825062286,First Class
ORD-2024-100013,2023-02-22 01:58:10,CUS-5372,Robert Andrews,meadowsmarissa@example.org,22,Small Business,Seychelles,North America,PROD-FUR-118,Furniture,Furnishings,Furnishings Model X,63.14761135053256,4,0.5,8.477535029475696,Second Class
ORD-2022-100014,2024-11-13 18:15:32,CUS-4965,Amy Smith,maxwelljose@example.com,55,Small Business,New Caledonia,Asia-Pacific,PROD-OFF-131,Office Supplies,Labels,Labels Model Basic,4586.324485522464,6,0.1,725.3905990047923,Standard Class
ORD-2023-100015,2023-11-02 19:02:48,CUS-3983,Courtney Duncan,erin92@example.org,65,Small Business,Gambia,Europe,PROD-TEC-797,Technology,Copiers,Copiers Model Basic,5207.5915251897,10,0.0,24.38848203838624,Standard Class
ORD-2022-100016,2025-05-29 13:39:00,CUS-4536,Eric Campbell,robertsonbryan@example.com,66,Home Office,Cocos (Keeling) Islands,North America,PROD-TEC-588,Technology,Copiers,Copiers Model Basic,399.40776647660596,2,0.0,62.051365558237265,Same Day
ORD-2023-100017,2023-10-04 17:18:53,CUS-2600,Jamie Garner,epham@example.net,55,Corporate,Greenland,South America,PROD-FUR-120,Furniture,Furnishings,Furnishings Model Plus,439.3415157852304,4,0.0,82.97861586978007,Second Class
ORD-2024-100018,2022-12-29 05:57:16,CUS-2917,Elizabeth Solomon,sarah82@example.org,62,Corporate,Norfolk Island,Africa,PROD-TEC-738,Technology,Phones,Phones Model Plus,2286.709292499975,8,0.0,-65.97501525734019,Same Day
ORD-2024-100019,2024-02-03 19:49:53,CUS-4354,Tracy Miller,sabrina16@example.org,32,Home Office,Montserrat,Asia-Pacific,PROD-TEC-339,Technology,Laptops,Laptops Model Basic,5870.419557585672,6,0.0,603.9483467307197,Same Day
ORD-2023-100020,2024-03-25 14:03:57,CUS-1344,Becky Webb,rachel16@example.org,42,Corporate,Qatar,South America,PROD-TEC-379,Technology,Accessories,Accessories Model Pro,1981.1199670001818,5,0.0,535.0530224804913,Same Day
ORD-2023-100021,2023-12-03 16:36:17,CUS-2442,Monica Kaiser,garciamichael@example.com,39,Corporate,Georgia,Africa,PROD-OFF-224,Office Supplies,Paper,Paper Model Basic,687.3200190042531,1,0.0,171.13253063373776,Same Day
ORD-2022-100022,2024-01-05 15:05:02,CUS-2530,Jessica Espinoza,yphillips@example.org,27,Small Business,Antigua and Barbuda,Asia-Pacific,PROD-OFF-613,Office Supplies,Labels,Labels Model Plus,579.9014701167699,5,0.15,62.68933181855452,Standard Class
ORD-2024-100023,2024-01-30 04:54:09,CUS-1436,Victoria Perez,davismary@example.com,57,Consumer,Tanzania,Europe,PROD-OFF-119,Office Supplies,Binders,Binders Model Basic,1365.3666994109055,2,0.0,108.0089761433664,Standard Class
ORD-2024-100024,2025-07-25 19:40:49,CUS-4932,Ashley Glover,muellerlisa@example.net,35,Corporate,Taiwan,Europe,PROD-OFF-176,Office Supplies,Labels,Labels Model Plus,3355.898717825612,6,0.1,797.6622766351361,Same Day
ORD-2023-100025,2025-10-20 18:03:49,CUS-5757,Jacob Hester,msaunders@example.com,58,Consumer,Mauritius,North America,PROD-TEC-482,Technology,Phones,Phones Model Pro,2296.133826008151,8,0.1,-213.82133527164308,Standard Class
ORD-2022-100026,2025-09-01 04:50:10,CUS-2764,Brian Watson,murphyjacqueline@example.org,43,Small Business,Bouvet Island (Bouvetoya),Europe,PROD-TEC-448,Technology,Phones,Phones Model X,1766.349103022113,3,0.0,-155.55147896456498,Same Day
ORD-2024-100027,2024-04-09 01:35:29,CUS-1102,Christina Khan,corey55@example.net,66,Corporate,Liberia,Asia-Pacific,PROD-TEC-789,Technology,Copiers,Copiers Model Pro,7824.79373503669,8,0.0,176.1053780172777,Second Class
ORD-2022-100028,2023-02-05 02:11:00,CUS-5115,Sonya May,chandlerholly@example.com,33,Corporate,Papua New Guinea,Africa,PROD-OFF-923,Office Supplies,Storage,Storage Model Pro,1285.2101460064373,7,0.0,107.30275292830207,First Class
ORD-2023-100029,2023-01-27 16:17:47,CUS-5670,Brenda Hart,olucas@example.net,29,Consumer,Aruba,Africa,PROD-TEC-877,Technology,Phones,Phones Model X,3646.8455508039274,5,0.1,18.477733154224477,Second Class
ORD-2022-100030,2023-06-22 05:32:36,CUS-2085,Austin Martinez,hilldebra@example.com,31,Consumer,Palestinian Territory,South America,PROD-FUR-860,Furniture,Furnishings,Furnishings Model Plus,3863.5177935123174,5,0.1,-200.29765381430997,Second Class
ORD-2024-100031,2024-01-17 17:52:58,CUS-1660,William Francis,nharrison@example.com,69,Small Business,Antarctica (the territory South of 60 deg S),North America,PROD-FUR-959,Furniture,Furnishings,Furnishings Model X,89.81634429594644,2,0.2,0.09609812653030876,Standard Class
ORD-2023-100032,2022-11-25 12:27:18,CUS-1059,Terry Lopez,maryholmes@example.net,52,Home Office,Martinique,Europe,PROD-OFF-814,Office Supplies,Paper,Paper Model Plus,537.5709540697554,1,0.0,18.82529226207675,Second Class
ORD-2024-100033,2025-05-31 13:12:29,CUS-4257,Sandra Shea,michael58@example.org,18,Small Business,Gibraltar,North America,PROD-OFF-153,Office Supplies,Art,Art Model Pro,1401.6635207182544,9,0.0,351.3573322800669,Standard Class
ORD-2022-100034,2024-12-07 06:45:17,CUS-1282,Nancy Morris,srichardson@example.org,52,Consumer,Niger,North America,PROD-FUR-423,Furniture,Chairs,Chairs Model X,1623.5456848796368,7,0.0,171.87004077483158,Standard Class
ORD-2022-100035,2025-10-12 10:03:27,CUS-4608,Walter Lopez,davisamber@example.net,67,Home Office,Morocco,Africa,PROD-TEC-299,Technology,Copiers,Copiers Model X,281.419740864653,3,0.0,-4.2749338082655175,Same Day
ORD-2023-100036,2023-09-29 18:33:25,CUS-1803,Jennifer Evans MD,garcialaura@example.com,62,Small Business,Pakistan,Asia-Pacific,PROD-FUR-914,Furniture,Furnishings,Furnishings Model Basic,3721.490629517355,6,0.0,931.0866427409443,Second Class
ORD-2024-100037,2024-03-08 20:17:54,CUS-1741,Alexis Alexander,juangonzalez@example.net,66,Home Office,Western Sahara,North America,PROD-FUR-135,Furniture,Tables,Tables Model Plus,1762.8411726096847,4,0.5,17.69558922729138,Standard Class
ORD-2022-100038,2024-12-28 14:15:32,CUS-2699,Carrie Chang,amycastro@example.net,25,Small Business,Svalbard & Jan Mayen Islands,Africa,PROD-OFF-836,Office Supplies,Art,Art Model X,4723.93798924989,6,0.15,597.9946211279577,First Class
ORD-2024-100039,2023-07-04 06:15:40,CUS-2646,Seth Tate,ohernandez@example.net,35,Home Office,Niger,South America,PROD-TEC-646,Technology,Accessories,Accessories Model X,576.6414489543017,1,0.0,147.22535803178582,First Class
ORD-2024-100040,2024-07-22 15:39:09,CUS-1346,Kara Thompson,alejandra08@example.com,61,Corporate,Christmas Island,North America,PROD-TEC-393,Technology,Copiers,Copiers Model Plus,428.73693555253544,4,0.0,-22.012479358263658,Same Day
ORD-2023-100041,2024-07-29 16:04:03,CUS-4820,Kimberly Chavez,rebecca11@example.org,57,Small Business,Equatorial Guinea,Africa,PROD-FUR-413,Furniture,Bookcases,Bookcases Model Plus,2882.2593238119193,9,0.0,254.78864913871297,Same Day
ORD-2023-100042,2024-12-28 14:37:30,CUS-5410,Crystal Singh,tammy69@example.org,56,Small Business,Indonesia,Asia-Pacific,PROD-FUR-246,Furniture,Bookcases,Bookcases Model X,1628.338476673526,9,0.5,389.85903201475355,First Class
ORD-2024-100043,2024-10-05 02:04:14,CUS-1632,Victoria Park,stephensonhannah@example.com,67,Consumer,Armenia,South America,PROD-FUR-826,Furniture,Chairs,Chairs Model Plus,1071.6547900418857,2,0.0,41.077004132930426,Same Day
ORD-2022-100044,2024-08-30 17:20:05,CUS-2460,Colleen Beasley,annetteadams@example.net,33,Consumer,India,Africa,PROD-OFF-520,Office Supplies,Labels,Labels Model Plus,5986.384019514393,9,0.0,950.9640237400772,Second Class
ORD-2022-100045,2024-09-18 00:38:07,CUS-4277,David Banks,smithchristopher@example.com,64,Corporate,San Marino,Asia-Pacific,PROD-TEC-120,Technology,Copiers,Copiers Model Basic,4059.9278472708643,7,0.0,479.7695581485049,Standard Class
ORD-2024-100046,2024-03-01 02:56:15,CUS-2218,Michelle Gutierrez,webbbrian@example.net,29,Small Business,Bouvet Island (Bouvetoya),South America,PROD-OFF-303,Office Supplies,Art,Art Model Plus,1492.8873700080546,2,0.0,193.50759604362926,Second Class
ORD-2024-100047,2023-09-09 16:13:19,CUS-5169,Diana Estes,ydelacruz@example.org,62,Consumer,Malaysia,Asia-Pacific,PROD-FUR-471,Furniture,Furnishings,Furnishings Model X,5597.5849699390155,7,0.0,1610.5081917610262,Standard Class
ORD-2024-100048,2025-01-30 03:49:37,CUS-1033,Robert Cox,markconway@example.com,24,Small Business,Turkmenistan,North America,PROD-OFF-466,Office Supplies,Storage,Storage Model Pro,1845.6347151487137,10,0.0,79.1386047027521,First Class
ORD-2023-100049,2023-02-21 08:59:34,CUS-4999,Rita Johnson,aorr@example.org,46,Corporate,Luxembourg,Africa,PROD-FUR-363,Furniture,Furnishings,Furnishings Model Plus,620.6094154430501,10,0.15,130.93344942589425,First Class
ORD-2022-100050,2025-07-29 18:40:34,CUS-4549,Stephanie Harvey,harrisonrebecca@example.org,24,Consumer,Japan,South America,PROD-OFF-797,Office Supplies,Art,Art Model Basic,8679.413224801394,9,0.0,1591.8591657317545,Same Day
ORD-2024-100051,2023-10-09 10:36:02,CUS-2378,Debra Johns,mike18@example.com,35,Consumer,Peru,Africa,PROD-OFF-930,Office Supplies,Labels,Labels Model X,405.7922566664692,6,0.2,52.352982170725284,First Class
ORD-2023-100052,2025-02-11 17:13:32,CUS-3458,David Allen,howellmark@example.com,39,Small Business,Bangladesh,South America,PROD-TEC-936,Technology,Copiers,Copiers Model X,516.6516664342558,2,0.2,145.67352959225198,Same Day
ORD-2023-100053,2024-09-07 21:30:32,CUS-2383,Melinda Hubbard,pmartin@example.net,44,Corporate,United States Minor Outlying Islands,South America,PROD-OFF-262,Office Supplies,Paper,Paper Model Basic,47.09066372525794,1,0.0,8.563045365320454,Same Day
ORD-2022-100054,2023-02-18 05:41:58,CUS-1383,Erin Nelson,derrickmcclure@example.org,18,Home Office,British Indian Ocean Territory (Chagos Archipelago),Asia-Pacific,PROD-TEC-617,Technology,Accessories,Accessories Model Pro,467.00925308273,4,0.0,104.75746659593068,Second Class
ORD-2023-100055,2025-04-04 14:43:35,CUS-1991,Ashley Braun,michael90@example.net,48,Small Business,Greece,Europe,PROD-FUR-348,Furniture,Tables,Tables Model Basic,4255.405357628701,8,0.1,344.0955700772367,Second Class
ORD-2023-100056,2024-03-25 11:00:22,CUS-2014,Joshua Johnson,ygarcia@example.net,26,Home Office,Netherlands Antilles,Europe,PROD-OFF-924,Office Supplies,Labels,Labels Model Basic,480.0436430644085,4,0.0,-31.84870669841087,Same Day
ORD-2022-100057,2023-08-13 03:51:59,CUS-2122,Randy Williams,landrymary@example.org,54,Consumer,Somalia,North America,PROD-FUR-333,Furniture,Furnishings,Furnishings Model Plus,6956.400057053373,8,0.0,927.0345199589194,Second Class
ORD-2023-100058,2024-07-26 12:36:16,CUS-5069,Christine Hart,jdiaz@example.org,57,Home Office,Jamaica,South America,PROD-OFF-361,Office Supplies,Binders,Binders Model Basic,1433.5292761778537,9,0.2,-40.904588278932934,Second Class
ORD-2024-100059,2025-04-24 21:12:49,CUS-5577,Jackson Thomas,michelle54@example.com,44,Corporate,Russian Federation,Europe,PROD-TEC-987,Technology,Laptops,Laptops Model Basic,364.2061273422401,1,0.2,40.83779651841507,Same Day
ORD-2023-100060,2025-10-09 05:59:12,CUS-1302,Jamie Miller,anthony42@example.org,22,Home Office,Cape Verde,North America,PROD-TEC-972,Technology,Phones,Phones Model X,7863.174752443919,10,0.2,1878.1102489686011,Standard Class
ORD-2022-100061,2023-11-28 08:01:41,CUS-3097,Amanda Williams,sandracarroll@example.com,25,Consumer,Syrian Arab Republic,South America,PROD-OFF-303,Office Supplies,Paper,Paper Model X,2518.9240310454743,8,0.5,-157.78262098806113,Standard Class
ORD-2023-100062,2025-09-01 01:36:54,CUS-5864,Kari Johnson,bobbyholmes@example.org,34,Home Office,Solomon Islands,Europe,PROD-OFF-667,Office Supplies,Paper,Paper Model Pro,2722.670060208389,7,0.1,593.5802217202785,First Class
ORD-2024-100063,2023-02-05 23:16:28,CUS-2806,Eric Short,rebecca09@example.com,67,Home Office,Seychelles,South America,PROD-OFF-274,Office Supplies,Storage,Storage Model Pro,1164.0799558385863,7,0.15,243.27416951965316,Second Class
ORD-2022-100064,2025-03-24 21:17:25,CUS-1889,David Jones,joseph61@example.org,58,Corporate,Liberia,North America,PROD-OFF-408,Office Supplies,Art,Art Model X,483.2011191478666,2,0.0,40.173768190544,Same Day
ORD-2024-100065,2024-03-24 17:33:03,CUS-3045,Katherine Haynes,paulandrew@example.org,49,Consumer,Sao Tome and Principe,South America,PROD-FUR-239,Furniture,Chairs,Chairs Model Plus,3236.8774123877533,8,0.15,849.3231433061919,First Class
ORD-2022-100066,2025-01-08 02:04:18,CUS-4856,Cody Lindsey,christopherpatel@example.org,31,Corporate,Niue,Africa,PROD-TEC-429,Technology,Accessories,Accessories Model X,3766.0458389255696,4,0.0,557.1038825069655,Standard Class
ORD-2023-100067,2023-03-15 03:53:25,CUS-2139,Jasmine Mason,tellis@example.org,60,Home Office,Denmark,North America,PROD-OFF-232,Office Supplies,Labels,Labels Model Plus,6411.102263837805,9,0.0,461.82034851735455,Same Day
ORD-2023-100068,2024-05-17 22:40:46,CUS-2800,Christine Ray,gregory58@example.org,24,Home Office,Cayman Islands,North America,PROD-OFF-208,Office Supplies,Binders,Binders Model Plus,298.9195256535808,10,0.0,36.04958343633591,Standard Class
ORD-2023-100069,2024-11-12 04:28:22,CUS-5305,Teresa Ryan,kaitlyn40@example.org,44,Home Office,Honduras,South America,PROD-TEC-692,Technology,Copiers,Copiers Model Basic,1956.4482442947244,5,0.2,111.78664267698008,First Class
ORD-2023-100070,2024-06-30 07:28:53,CUS-1945,Lisa Smith,xedwards@example.net,38,Small Business,Iraq,Europe,PROD-FUR-485,Furniture,Furnishings,Furnishings Model Pro,3152.092591557608,5,0.0,-311.57702707084746,Same Day
ORD-2023-100071,2025-07-30 08:18:15,CUS-1178,Sandra Jones,roberthernandez@example.net,50,Home Office,Bermuda,Africa,PROD-OFF-424,Office Supplies,Binders,Binders Model Pro,641.0981570699051,8,0.5,163.86593656885563,Same Day
ORD-2024-100072,2023-08-21 13:33:19,CUS-1267,Robert Mayer,fshaw@example.com,33,Home Office,Belgium,North America,PROD-TEC-278,Technology,Laptops,Laptops Model Plus,3829.793545989363,9,0.0,228.05612888044206,Standard Class
ORD-2022-100073,2024-01-04 02:53:37,CUS-4156,Darrell Ramirez,sharon47@example.org,42,Consumer,Argentina,Europe,PROD-FUR-831,Furniture,Furnishings,Furnishings Model Basic,4860.617623595482,9,0.15,-208.83910806878743,Same Day
ORD-2022-100074,2022-11-11 23:32:43,CUS-2947,Timothy Pace,fhaynes@example.com,47,Corporate,Liberia,South America,PROD-OFF-323,Office Supplies,Labels,Labels Model X,700.6819967053029,1,0.0,137.49387004664868,Same Day
ORD-2024-100075,2024-12-01 16:58:09,CUS-5742,Janice Wilson,christina09@example.com,32,Consumer,Syrian Arab Republic,Europe,PROD-TEC-355,Technology,Laptops,Laptops Model Basic,835.7557309077552,3,0.0,97.34417841031384,Standard Class
ORD-2022-100076,2024-05-17 21:34:34,CUS-1479,Mr. Marc Gilmore,harriskaren@example.org,59,Corporate,Saint Lucia,Asia-Pacific,PROD-OFF-156,Office Supplies,Binders,Binders Model X,3230.6537243875,6,0.0,-272.146695139656,First Class
ORD-2023-100077,2023-08-06 06:19:36,CUS-2808,Lisa Gould DDS,ryan50@example.com,18,Home Office,Netherlands,Africa,PROD-TEC-194,Technology,Laptops,Laptops Model X,460.76320333622476,2,0.0,133.71778826786286,Second Class
ORD-2023-100078,2025-03-29 22:41:47,CUS-4854,Yesenia Webb,chadhill@example.net,35,Consumer,Syrian Arab Republic,Africa,PROD-FUR-425,Furniture,Chairs,Chairs Model Pro,4275.072408827334,6,0.0,1107.7238162297758,Second Class
ORD-2024-100079,2024-02-06 04:09:42,CUS-3545,Lisa Stokes,larsonrose@example.org,47,Consumer,Sweden,South America,PROD-OFF-719,Office Supplies,Art,Art Model X,140.64031962730286,2,0.15,-8.961971488393075,Same Day
ORD-2022-100080,2025-04-14 02:48:05,CUS-5925,Christopher Richards,ashleyjohnson@example.org,22,Corporate,Japan,Africa,PROD-OFF-943,Office Supplies,Art,Art Model Pro,3905.732646336699,5,0.2,-366.17697963166864,Standard Class
ORD-2023-100081,2024-10-23 07:50:08,CUS-2191,Laurie Mcgee,hannah27@example.com,19,Consumer,Cameroon,Asia-Pacific,PROD-FUR-754,Furniture,Furnishings,Furnishings Model X,232.64787994404395,2,0.5,-4.4084843763229875,Standard Class
ORD-2022-100082,2025-05-19 21:30:40,CUS-5099,Pamela Steele,rfleming@example.org,37,Small Business,French Southern Territories,Europe,PROD-OFF-892,Office Supplies,Paper,Paper Model X,2692.9816270730357,6,0.2,480.8737145645357,Second Class
ORD-2023-100083,2024-08-16 04:01:26,CUS-2574,Hailey Knapp,meadowspaige@example.org,48,Corporate,Guernsey,South America,PROD-FUR-135,Furniture,Tables,Tables Model X,1613.0567403202076,3,0.0,264.8915164748517,Second Class
ORD-2022-100084,2023-03-06 10:22:57,CUS-5246,Timothy Greene,kimberly22@example.net,43,Consumer,Turks and Caicos Islands,Africa,PROD-FUR-717,Furniture,Bookcases,Bookcases Model Plus,114.82697318093533,1,0.0,23.812257899903447,Same Day
ORD-2023-100085,2024-09-01 01:15:37,CUS-4575,Richard Hodge,brian67@example.net,31,Home Office,Guernsey,North America,PROD-TEC-481,Technology,Laptops,Laptops Model Basic,2532.4222865574657,5,0.15,704.8025554137496,First Class
ORD-2022-100086,2022-12-26 05:14:14,CUS-4223,Dakota Ortega,nlogan@example.net,19,Small Business,Benin,Europe,PROD-FUR-300,Furniture,Furnishings,Furnishings Model Basic,591.7118435571263,5,0.15,68.12155709061292,Standard Class
ORD-2022-100087,2025-01-30 07:06:35,CUS-5492,Ryan Lee,collinsrichard@example.com,57,Home Office,Albania,Europe,PROD-TEC-161,Technology,Accessories,Accessories Model X,2198.8376012817407,5,0.0,-17.5966081515997,Standard Class
ORD-2024-100088,2023-06-22 21:49:13,CUS-2203,Judy Jenkins,bvargas@example.org,36,Corporate,Belize,Asia-Pacific,PROD-OFF-925,Office Supplies,Storage,Storage Model X,456.13298211676886,6,0.2,122.51573026784685,Same Day
